seed,policy,forecast_samples,oracle_loss_mean,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,rollout_path,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm
127,secondary_validation_selected_static,4096,1.091241965827094,0.6006004980027427,1282,6.046805076925503,452,0.2715520089977461,1143,2.3063191946419974,3,reports/aggregate/pdppo_secondary_forecaster_24seed_20260718/seed127/rollout_secondary_validation_selected_static.npz,0.625297295836331,0.966708427855455,0.3527031145093941,0.6482362794003934
127,validation_selected_static,4096,0.899641119068745,0.5568529156018929,1282,3.1332501562647836,452,0.76677195491108,1143,1.485625008925919,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_validation_selected_static.npz,0.5797508051730755,0.5009156561369845,0.9959155066234082,0.6921939893111562
127,round_robin,4096,1.11377045139576,0.6167848768758666,1282,5.444771519541667,452,0.5448073631848935,1143,2.2021212532008088,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_round_robin.npz,0.6421471792077377,0.870460755510993,0.7076186050406185,0.7400755132531164
127,aoi,4096,1.1183965902856197,0.6445410139284377,1282,5.41145468792593,452,0.5415354438440358,1143,2.1991770485661344,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_aoi.npz,0.6710446534848169,0.8651343622334459,0.7033688992615917,0.7465159716599515
127,random,4096,1.166466116016831,0.6281194105307703,1282,5.807264764617958,452,0.5543021410170931,1143,2.3298954387219406,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_random.npz,0.6539477908748041,0.9284128923167816,0.7199508198725085,0.7674371676880315
127,feasible_static_projected,4096,1.1336991795630205,0.5208209228889215,1282,5.921939143561008,452,0.675055427806459,1143,2.3726051647521293,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed127_h075forecastctrl_20260718cleanpilot/rollout_feasible_static_projected.npz,0.542237170599112,0.9467459933797483,0.8767902426226784,0.7885911355338463
128,custom_ppo,4096,0.9420291696215656,0.48978081453156413,947,3.148820835044093,684,0.2707637107954684,954,1.3031217867903753,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed128_h075forecastctrl_20260718cleanpilot/rollout_custom_ppo.npz,1.3152302080901606,0.5306786798410232,0.34526771974435355,0.7303922025585124
128,full_open_unconstrained,4096,0.9866550109586092,0.5375539602082193,947,3.2191532822874795,684,0.2876285183165657,954,1.3481119202707548,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed128_h075forecastctrl_20260718cleanpilot/rollout_full_open_unconstrained.npz,1.4435175612596047,0.5425319837310765,0.3667730892033178,0.7842742113979996
128,secondary_validation_selected_static,4096,1.057252157207576,0.44194913839188943,947,3.0965321148644844,684,0.8776025483271934,954,1.4720279338611892,3,reports/aggregate/pdppo_secondary_forecaster_24seed_20260718/seed128/rollout_secondary_validation_selected_static.npz,1.1867856804647705,0.5218663305683461,1.119085825100293,0.9425792787111366
128,validation_selected_static,4096,1.0732810982554313,0.43794317762362595,947,3.1804021964181333,684,0.8782881709944098,954,1.4988778483453897,3,reports/v31_scenebal2_matched_reward_forecast_noexactevent_seed128_h075forecastctrl_20260718cleanpilot/rollout_validation_selected_static.npz,1.1760282958173476,0.5360011659523435,1.1199601053877783,0.9439965223858232
