action_idx,oracle_loss_mean,oracle_loss_event,oracle_loss_non_event,event_rate,oracle_loss_subtype_particle,steps_subtype_particle,oracle_loss_subtype_flux,steps_subtype_flux,oracle_loss_subtype_thermal,steps_subtype_thermal,oracle_loss_macro_subtype_event,macro_subtype_event_count,power_mean,warmup_abort_count,sensor_ids,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,oracle_loss_subtype_particle_staticnorm,oracle_loss_subtype_flux_staticnorm,oracle_loss_subtype_thermal_staticnorm,oracle_loss_macro_subtype_event_staticnorm,prior_logit
33,0.3361044622361078,0.5803498989333558,0.18335414150798762,0.384765625,0.906475555886506,218,0.4550850386831829,278,0.198541877183475,95,0.5200341572510546,3,1.72,0,shielded_thermo_hygro|surface_temp_ir|fc4_flux,0,0,1,1,0,1,0.9572520546216745,0.9838949003338275,0.7382401767180011,0.8931290438911678,-0.0
24,0.3364225251255751,0.6581851863278653,0.13519317827842853,0.384765625,1.023972519459801,218,0.503744769037413,278,0.2707409482645361,95,0.5994860789205835,3,1.1400000000000003,0,met_station_core|fc4_flux,1,0,0,0,0,1,1.0813306456680138,1.0890973492776088,1.0066986790243062,1.059042224656643,-0.0
7,0.3372889636108691,0.6616684863826042,0.13442303984568862,0.384765625,1.0640349462628365,218,0.4821132905781269,278,0.2637785514326472,95,0.6033089294245368,3,1.5399999999999998,0,met_station_core|radiometer_basic|shielded_thermo_hygro,1,1,1,0,0,0,1.1236371812621602,1.0423300430959845,0.9808103317372266,1.0489258520317903,-0.0
3,0.3384401549046743,0.6629630805020001,0.1354845474676165,0.384765625,1.0629577349290389,218,0.4841718578295742,278,0.2682801882687368,95,0.6051365936757832,3,1.0199999999999998,0,met_station_core|radiometer_basic,1,1,0,0,0,0,1.122499629614084,1.0467806702283418,0.9975488113997512,1.0556097037473922,-0.0
9,0.34114855499744107,0.6608580269751513,0.14120326617328577,0.384765625,1.0834107482720405,218,0.4850406341737123,278,0.20570794230228975,95,0.5913864415826809,3,1.0999999999999999,0,met_station_core|surface_temp_ir,1,0,0,1,0,0,1.144098324602219,1.0486589666825639,0.7648858257605842,0.9858810390151224,-0.0
32,0.34153425639184815,0.6203663134774077,0.1671535730716728,0.384765625,0.9665766541222367,218,0.44297188531151777,278,0.34501680578840405,95,0.5848551150740529,3,1.6999999999999995,0,radiometer_basic|surface_temp_ir|fc4_flux,0,1,0,1,0,1,1.0207197338079135,0.9577062348838965,1.2828793163899392,1.0871017616939165,-0.0
13,0.34160914124489256,0.6697054805136372,0.13641873224189988,0.384765625,1.1054827375764693,218,0.4863308356981054,278,0.2063234722927997,95,0.5993790151891248,3,1.6200000000000008,0,met_station_core|shielded_thermo_hygro|surface_temp_ir,1,0,1,1,0,0,1.1674066829733272,1.0514483853457801,0.76717455686062,0.9953432083932424,-0.0
26,0.34169727950817713,0.6652939983607347,0.13932091882895856,0.384765625,1.0531121219311832,218,0.4850789235918213,278,0.3027196809649467,95,0.6136369088293171,3,1.6400000000000003,0,met_station_core|radiometer_basic|fc4_flux,1,1,0,0,0,1,1.112102511666441,1.0487417484925816,1.125605509235005,1.0954832564646757,-0.0
25,0.35371956726157805,0.6649780624472046,0.15905949249469414,0.384765625,0.9798891957712557,218,0.41954183439127835,278,0.6605637922883034,95,0.686664940816946,3,1.1200000000000003,0,radiometer_basic|fc4_flux,0,1,0,0,0,1,1.0347779814495692,0.9070504109049542,2.4561807195052476,1.4660030372865904,-0.0
11,0.35666146106329205,0.6905432154886211,0.14785287178776882,0.384765625,1.0937443341410489,218,0.5297569120101792,278,0.23581425233891135,95,0.6197718328300464,3,1.5999999999999999,0,met_station_core|radiometer_basic|surface_temp_ir,1,1,0,1,0,0,1.1550107493669926,1.145335662212955,0.8768304087224116,1.0590589401007862,-0.0
31,0.3588205500879364,0.6957737024867192,0.14809111827028493,0.384765625,1.0769156070614079,218,0.5592682427532382,278,0.22061141415646202,95,0.618931754657036,3,1.72,0,met_station_core|surface_temp_ir|fc4_flux,1,0,0,1,0,1,1.1372393561186669,1.2091392271558463,0.8203015488887003,1.0555600440544046,-0.0
2,0.3691081293945899,0.6589211763060839,0.18785996989756035,0.384765625,0.9063126661498612,218,0.4058714068943648,278,0.8317263458904467,95,0.7146368063115576,3,0.5,0,radiometer_basic,0,1,0,0,0,0,0.9570800405678289,0.8774949152144877,3.0926160932978535,1.6423970163600565,-0.0
