seed,training_source,model,feature_set,train_rows,test_rows,train_action_coverage,test_action_coverage,top1_action_accuracy,top3_action_accuracy,mean_action_cost_regret,mean_gain_vs_validation_static_action,receding_gain_vs_validation_static_action,fraction_of_receding_gain_recovered,validation_static_action_idx
1303,rl_train_plus_validation,ridge_cost_regression,alert_context,3584,2304,22,22,0.2677951388888889,,0.03563974253160672,0.013894405798055232,0.04953414832966195,0.28050155835090856,14
1304,rl_train_plus_validation,ridge_cost_regression,alert_context,3584,2304,22,22,0.23350694444444445,,0.031958789099007845,0.013748437680381658,0.04570722677938951,0.30079352104952384,8
1305,rl_train_plus_validation,ridge_cost_regression,alert_context,3584,2304,22,22,0.11588541666666667,,0.037344713352568865,0.007349065430591711,0.044693778783160575,0.16443150771043424,14
1301,rl_train_plus_validation,extra_trees_cost_regression,complete_online_state,3584,2304,22,22,0.1328125,,0.04460485490077796,0.021941132869364485,0.06654598777014245,0.3297138355681442,14
1302,rl_train_plus_validation,extra_trees_cost_regression,complete_online_state,3584,2304,22,22,0.1675347222222222,,0.03094205701038138,0.016847311124567773,0.04778936813494915,0.3525326193264116,15
1303,rl_train_plus_validation,extra_trees_cost_regression,complete_online_state,3584,2304,22,22,0.2508680555555556,,0.03325548158803334,0.016278666741628613,0.04953414832966195,0.32863524034551034,14
1304,rl_train_plus_validation,extra_trees_cost_regression,complete_online_state,3584,2304,22,22,0.234375,,0.03083100866125379,0.014876218118135713,0.04570722677938951,0.3254675281424809,8
1305,rl_train_plus_validation,extra_trees_cost_regression,complete_online_state,3584,2304,22,22,0.21788194444444445,,0.030681302428193804,0.01401247635496677,0.044693778783160575,0.3135218532975399,14
1301,rl_train_plus_validation,hist_gradient_boosting,complete_online_state,3584,2304,22,22,0.13975694444444445,0.2760416666666667,0.05320221351576038,0.01334377425438207,0.06654598777014245,0.20051959106044095,14
1302,rl_train_plus_validation,hist_gradient_boosting,complete_online_state,3584,2304,22,22,0.15364583333333334,0.3098958333333333,0.04386788257721087,0.003921485557738279,0.04778936813494915,0.08205769841243062,15
1303,rl_train_plus_validation,hist_gradient_boosting,complete_online_state,3584,2304,22,22,0.1618923611111111,0.3723958333333333,0.049601688767628126,-6.7540437966172e-05,0.04953414832966195,-0.0013635126522550415,14
1304,rl_train_plus_validation,hist_gradient_boosting,complete_online_state,3584,2304,22,22,0.22135416666666666,0.3689236111111111,0.041612234665080905,0.0040949921143085995,0.04570722677938951,0.08959178674465391,8
1305,rl_train_plus_validation,hist_gradient_boosting,complete_online_state,3584,2304,22,22,0.2964409722222222,0.4917534722222222,0.0308589836414386,0.013834795141721973,0.044693778783160575,0.30954632878199495,14
1301,rl_train_plus_validation,multinomial_logistic,complete_online_state,3584,2304,22,22,0.12065972222222222,0.2903645833333333,0.05637672447806431,0.010169263292078136,0.06654598777014245,0.15281557360308407,14
1302,rl_train_plus_validation,multinomial_logistic,complete_online_state,3584,2304,22,22,0.10069444444444445,0.2669270833333333,0.045150768018275916,0.002638600116673238,0.04778936813494915,0.05521311998146271,15
1303,rl_train_plus_validation,multinomial_logistic,complete_online_state,3584,2304,22,22,0.16102430555555555,0.3715277777777778,0.0454290657912174,0.004105082538444547,0.04953414832966195,0.08287378862606484,14
1304,rl_train_plus_validation,multinomial_logistic,complete_online_state,3584,2304,22,22,0.16493055555555555,0.3433159722222222,0.039716735960812204,0.005990490818577299,0.04570722677938951,0.13106222452504065,8
1305,rl_train_plus_validation,multinomial_logistic,complete_online_state,3584,2304,22,22,0.18272569444444445,0.4240451388888889,0.036339315643999726,0.008354463139160847,0.044693778783160575,0.18692675729420727,14
1301,rl_train_plus_validation,ridge_cost_regression,complete_online_state,3584,2304,22,22,0.1462673611111111,,0.047982071814153135,0.018563915955989316,0.06654598777014245,0.27896371483899574,14
1302,rl_train_plus_validation,ridge_cost_regression,complete_online_state,3584,2304,22,22,0.10243055555555555,,0.03797195141992739,0.009817416715021766,0.04778936813494915,0.20543097969613305,15
1303,rl_train_plus_validation,ridge_cost_regression,complete_online_state,3584,2304,22,22,0.13368055555555555,,0.0408481922155867,0.00868595611407525,0.04953414832966195,0.17535289102515852,14
1304,rl_train_plus_validation,ridge_cost_regression,complete_online_state,3584,2304,22,22,0.17578125,,0.034958242878524795,0.010748983900864713,0.04570722677938951,0.23517033647098645,8
