seed,candidate,selected_sensor_ids,steady_cost,condition,operating_condition,event_subtype_id,oracle_loss
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0185132026672363
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0446243286132812
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0612860918045044
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.066179871559143
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0633834600448608
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.054689884185791
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.044253945350647
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0322308540344238
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0221229791641235
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.015872597694397
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0164676904678345
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0230568647384644
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.031269907951355
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0390045642852783
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0462154150009155
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0530864000320435
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.06009840965271
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.0697866678237915
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.083682656288147
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1015545129776
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.121887445449829
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.143663763999939
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1651450395584106
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.183581829071045
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1982392072677612
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.207446575164795
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.2057090997695923
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1934401988983154
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1741846799850464
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.152506709098816
7184,candidate_000,cr1000xe_backbone,0.4104,calm,thermal,0,1.1283092498779297
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1038832664489746
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.082014799118042
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0663212537765503
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0599777698516846
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0638912916183472
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0709601640701294
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0761462450027466
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0799047946929932
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0820847749710083
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.083571195602417
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0886077880859375
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.0993752479553223
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1138420104980469
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1327474117279053
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1569198369979858
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1851067543029785
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2146117687225342
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2406632900238037
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2608176469802856
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.267395257949829
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2615801095962524
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2458990812301636
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.2232900857925415
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1953343152999878
7184,candidate_000,cr1000xe_backbone,0.4104,calm,transport,0,1.1651548147201538
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1384329795837402
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1161104440689087
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1025733947753906
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0964689254760742
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.092414379119873
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0891900062561035
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0857189893722534
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0818538665771484
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0762219429016113
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0713480710983276
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0714633464813232
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.075903058052063
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0875216722488403
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1029667854309082
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.120187759399414
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1348167657852173
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1459722518920898
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1539208889007568
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1536747217178345
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1447640657424927
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.1251386404037476
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.102577805519104
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0819220542907715
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0629163980484009
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0498476028442383
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0425904989242554
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0404040813446045
7184,candidate_000,cr1000xe_backbone,0.4104,calm,particle,0,1.0430209636688232
